compound_id,IC50_nM,IC50_uM,pIC50,source,Interpretation
11696664.0,0.131,0.000131,3.8827287043442356,PubChem,Weak
24863865.0,0.209,0.00020899999999999998,3.679853713888946,PubChem,Weak
11619763.0,0.333,0.000333,3.4775557664936803,PubChem,Weak
24970497.0,0.472,0.000472,3.3260580013659125,PubChem,Weak
24970496.0,0.533,0.000533,3.2732727909734276,PubChem,Weak
667601.0,1.31,0.00131,2.8827287043442356,PubChem,Weak
CHEMBL545315,1.6,0.0016,2.795880017344075,ChEMBL,Weak
CHEMBL2110732,5.8,0.0058,2.2365720064370627,ChEMBL,Weak
CHEMBL5440872,7.943,0.007943,2.100015437450609,ChEMBL,Weak
CHEMBL3353410,9.0,0.009,2.0457574905606752,ChEMBL,Weak
CHEMBL303110,10.0,0.01,2.0,ChEMBL,Weak
CHEMBL939,14.4,0.0144,1.8416375079047504,ChEMBL,Weak
CHEMBL553,19.3,0.0193,1.7144426909922261,ChEMBL,Weak
CHEMBL2110732,19.95,0.01995,1.700057099977233,ChEMBL,Weak
CHEMBL52765,40.0,0.04,1.3979400086720375,ChEMBL,Weak
CHEMBL66031,46.0,0.046,1.337242168318426,ChEMBL,Weak
CHEMBL5429059,50.12,0.05012,1.2999889376778877,ChEMBL,Weak
CHEMBL137617,70.0,0.07,1.154901959985743,ChEMBL,Weak
CHEMBL3353410,81.0,0.081,1.0915149811213503,ChEMBL,Weak
CHEMBL7917,100.0,0.1,1.0,ChEMBL,Weak
